Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74.0,5.0,18.0,Nam,Nam,5.0,4.0,5.0,Have certificate,,9.9
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,,,1.0,,,Have certificate,Basic,10.0
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,,,5.0,,,Have certificate,,7.5
"Xã Lại Thượng, Thạch Thất, Hà Nội",378.0,,,,,2.0,3.0,3.0,Have certificate,Full,7.8
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,Tây - Bắc,Tây - Bắc,4.0,6.0,6.0,Have certificate,Full,8.8
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,Nam,,5.0,,,Have certificate,Basic,3.85
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,,3.5,,,5.0,4.0,4.0,Have certificate,Full,10.0
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,,,,,4.0,3.0,3.0,Have certificate,Basic,2.9
"Phụng Châu, Chương Mỹ, Hà Nội",38.0,,,,,3.0,3.0,3.0,Have certificate,Full,2.1
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,,,,,5.0,,,,,9.7
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,,,5.0,6.0,,,Full,7.6
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,,,,4.0,4.0,4.0,,,9.5
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80.0,,,,,,,,Have certificate,,10.0
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,,,4.0,4.0,4.0,,,6.5
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,,,4.0,4.0,4.0,Have certificate,,7.65
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120.0,,,,,3.0,4.0,3.0,,,8.4
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,,,5.0,7.0,6.0,Have certificate,,8.9
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,5.6
